[2025-03-12 22:27:22] info: 	z2m: Logging to console, file (filename: log.log)
[2025-03-12 22:27:22] info: 	z2m: Starting Zigbee2MQTT version 2.1.3 (commit #unknown)
[2025-03-12 22:27:22] info: 	z2m: Starting zigbee-herdsman (3.2.7)
[2025-03-12 22:27:22] info: 	zh:zstack:znp: Opening TCP socket with 10.81.19.36:6638
[2025-03-12 22:27:22] info: 	zh:zstack:znp: Socket connected
[2025-03-12 22:27:22] info: 	zh:zstack:znp: Socket ready
[2025-03-12 22:27:22] info: 	zh:zstack:znp: Writing CC2530/CC2531 skip bootloader payload
[2025-03-12 22:27:23] info: 	zh:zstack:znp: Skip bootloader for CC2652/CC1352
[2025-03-12 22:27:23] info: 	z2m: zigbee-herdsman started (resumed)
[2025-03-12 22:27:23] info: 	z2m: Coordinator firmware version: '{"meta":{"maintrel":1,"majorrel":2,"minorrel":7,"product":1,"revision":20240710,"transportrev":2},"type":"zStack3x0"}'
[2025-03-12 22:27:23] info: 	z2m: Currently 0 devices are joined.
[2025-03-12 22:27:23] info: 	z2m: Connecting to MQTT server at mqtt://core-mosquitto:1883
[2025-03-12 22:27:24] error: 	z2m: MQTT failed to connect, exiting... (Connection refused: Not authorized)
[2025-03-12 22:27:24] info: 	z2m: Stopping zigbee-herdsman...
[2025-03-12 22:27:41] info: 	zh:controller: Wrote coordinator backup to '/config/zigbee2mqtt/coordinator_backup.json'
[2025-03-12 22:27:41] info: 	zh:zstack:znp: closing
[2025-03-12 22:27:41] info: 	z2m: Stopped zigbee-herdsman
